a rep network bll blc ans model.rnd network.rnd assign.rnd network.size metacog communicating ncond cond time.fac avg.degree node.id node.degree node.betweenness score items.taken msgs.sent msgs.rcvd msgs.answers msgs.truthful talkative avg.pathlen clust.global clust.avg betweenness nbhd.infavail nbhd.entropy post.nbhd.infavail post.nbhd.entropy
1 20005 Tree 0.59868586 1.0 0.2 T T T 250 T T Tree PUSH 0.1 44.805145 46 1 0.0 77875.0 4.0 94.0 62.0 0.0 0.0 0.75 3.369754 0.0 0.0 4.739508 NA NA NA NA
1 20005 Tree 0.59868586 1.0 0.2 T T T 250 NIL T Tree PULL 0.1 44.805145 9 1 0.0 253875.0 4.0 23.0 21.0 0.0 0.0 0.0 3.3720863 0.0 0.0 4.7441726 NA NA NA NA
1 20006 RandomGraph 0.48364612 1.0 0.2 T T T 25 NIL T RandomGraph PUSH 0.1 4.474093 5 2 0.0 24625.0 6.0 26.0 21.0 0.0 0.0 0.0 2.1266668 0.1625 0.206 2.9277978 NA NA NA NA
1 20006 RandomGraph 0.30940047 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 24.915762 85 30 0.019163022 151125.0 2.0 43.0 1386.0 1.0 0.0 0.28612250261928124 1.9639518 0.103493564 0.10391375 3.1491597 NA NA NA NA
1 20006 RandomGraph 0.30940047 1.0 0.2 T T T 250 T T RandomGraph PUSH 0.1 24.915762 106 30 0.016676301 150250.0 3.0 44.0 1313.0 2.0 2.0 0.14392751908403234 1.9639518 0.103493564 0.10391375 3.1491597 NA NA NA NA
1 20006 RandomGraph 0.30940047 1.0 0.2 T T T 250 NIL T RandomGraph PUSH 0.1 24.915762 0 29 0.017374955 135750.0 3.0 11.0 230.0 1.0 0.0 0.0 1.9828434 0.096618555 0.096717626 3.2297244 NA NA NA NA
1 20006 RandomGraph 0.30940047 1.0 0.2 T T T 250 NIL T RandomGraph PUSH 0.1 24.915762 243 19 0.008851193 120250.0 2.0 5.0 164.0 0.0 0.0 0.0 1.9828434 0.096618555 0.096717626 3.2297244 NA NA NA NA
1 20006 RandomGraph 0.30940047 1.0 0.2 T T T 250 NIL T RandomGraph PULL 0.1 24.915762 46 29 0.015617988 134750.0 2.0 6.0 248.0 0.0 0.0 0.0 1.9713414 0.10075914 0.101507254 3.1908002 NA NA NA NA
1 20006 Tree 0.30940047 1.0 0.2 T T T 250 NIL T Tree PULL 0.1 24.915762 107 1 0.0 22000.0 1.0 11.0 13.0 0.0 0.0 0.0 3.6301951 0.0 0.0 5.2603903 NA NA NA NA
1 20007 Tree 0.46344683 1.0 0.2 T T T 25 T T Tree PUSH 0.1 3.3430328 11 1 0.0 12500.0 4.0 76.0 52.0 1.0 0.0 0.08292430878148667 3.937322 0.0 0.0 5.874644 NA NA NA NA
