"year" "disease" "value"
"218" 1886 "tuberculosis" 0
"219" 1884 "tuberculosis" 0
"220" 1883 "tuberculosis" 0
"221" 1882 "tuberculosis" 0
"222" 1881 "tuberculosis" 0
"223" 1879 "tuberculosis" 0
"224" 1880 "tuberculosis" 0
"225" 1878 "tuberculosis" 0
"226" 1876 "tuberculosis" 0
"227" 1875 "tuberculosis" 0
"228" 1873 "tuberculosis" 0
"229" 1910 "tuberculosis" 0.0294117647058824
"230" 1909 "tuberculosis" 0.0266666666666667
"231" 1908 "tuberculosis" 0.0285714285714286
"232" 1925 "tuberculosis" 0
"233" 1924 "tuberculosis" 0
"234" 1923 "tuberculosis" 0
"235" 1922 "tuberculosis" 0
"236" 1921 "tuberculosis" 0.00884955752212389
"237" 1920 "tuberculosis" 0.00869565217391304
"238" 1919 "tuberculosis" 0
"239" 1918 "tuberculosis" 0.018018018018018
"240" 1917 "tuberculosis" 0.00884955752212389
"241" 1916 "tuberculosis" 0
"242" 1915 "tuberculosis" 0.0173913043478261
"243" 1914 "tuberculosis" 0.0114942528735632
"244" 1913 "tuberculosis" 0.010752688172043
"245" 1912 "tuberculosis" 0
"246" 1877 "tuberculosis" 0
"247" 1874 "tuberculosis" 0
"248" 1872 "tuberculosis" 0
"249" 1871 "tuberculosis" 0
"250" 1870 "tuberculosis" 0
"251" 1869 "tuberculosis" 0
"252" 1868 "tuberculosis" 0
"253" 1867 "tuberculosis" 0
"254" 1866 "tuberculosis" 0
"255" 1949 "tuberculosis" 0.014947138169887
"256" 1947 "tuberculous" 0.00478468899521531
"257" 1942 "tuberculous" 0
"258" 1946 "tuberculous" 0
"259" 1945 "tuberculous" 0
"260" 1944 "tuberculous" 0
"261" 1943 "tuberculous" 0
"262" 1948 "tuberculous" 0.00231107002542177
"263" 2010 "tuberculous" 0
"264" 1941 "tuberculous" 0
"265" 1940 "tuberculous" 0
"266" 1939 "tuberculous" 0
"267" 1938 "tuberculous" 0
"268" 1937 "tuberculous" 0
"269" 1936 "tuberculous" 0.00512820512820513
"270" 1935 "tuberculous" 0
"271" 1934 "tuberculous" 0
"272" 1933 "tuberculous" 0
"273" 1931 "tuberculous" 0
"274" 1932 "tuberculous" 0
"275" 1930 "tuberculous" 0.00591715976331361
"276" 1929 "tuberculous" 0
"277" 1928 "tuberculous" 0
"278" 1927 "tuberculous" 0.00568181818181818
"279" 1926 "tuberculous" 0
"280" 1911 "tuberculous" 0
"281" 1904 "tuberculous" 0
"282" 1901 "tuberculous" 0
"283" 1903 "tuberculous" 0
"284" 1899 "tuberculous" 0
"285" 1900 "tuberculous" 0
"286" 1895 "tuberculous" 0
"287" 1897 "tuberculous" 0
"288" 1898 "tuberculous" 0
"289" 1907 "tuberculous" 0
"290" 1892 "tuberculous" 0
"291" 1893 "tuberculous" 0
"292" 1906 "tuberculous" 0
"293" 1905 "tuberculous" 0
"294" 1902 "tuberculous" 0
"295" 1896 "tuberculous" 0
"296" 1894 "tuberculous" 0
"297" 1891 "tuberculous" 0
"298" 1890 "tuberculous" 0
"299" 1889 "tuberculous" 0
"300" 1888 "tuberculous" 0
"301" 1887 "tuberculous" 0
"302" 1885 "tuberculous" 0.0476190476190476
"303" 1886 "tuberculous" 0
"304" 1884 "tuberculous" 0
"305" 1883 "tuberculous" 0
"306" 1882 "tuberculous" 0
"307" 1881 "tuberculous" 0
"308" 1879 "tuberculous" 0
"309" 1880 "tuberculous" 0
"310" 1878 "tuberculous" 0
"311" 1876 "tuberculous" 0
"312" 1875 "tuberculous" 0
"313" 1873 "tuberculous" 0
"314" 1910 "tuberculous" 0
"315" 1909 "tuberculous" 0
"316" 1908 "tuberculous" 0
"317" 1925 "tuberculous" 0
"318" 1924 "tuberculous" 0
"319" 1923 "tuberculous" 0
"320" 1922 "tuberculous" 0
"321" 1921 "tuberculous" 0
"322" 1920 "tuberculous" 0
"323" 1919 "tuberculous" 0
"324" 1918 "tuberculous" 0
"325" 1917 "tuberculous" 0
"326" 1916 "tuberculous" 0
"327" 1915 "tuberculous" 0
"328" 1914 "tuberculous" 0.0114942528735632
"329" 1913 "tuberculous" 0
"330" 1912 "tuberculous" 0
"331" 1877 "tuberculous" 0
"332" 1874 "tuberculous" 0
"333" 1872 "tuberculous" 0
"334" 1871 "tuberculous" 0
"335" 1870 "tuberculous" 0
"336" 1869 "tuberculous" 0
"337" 1868 "tuberculous" 0
"338" 1867 "tuberculous" 0
"339" 1866 "tuberculous" 0
"340" 1949 "tuberculous" 0.002187386073642
"341" 1947 "cancer" 0.0155502392344498
"342" 1942 "cancer" 0
"343" 1946 "cancer" 0
"344" 1945 "cancer" 0.00636942675159236
"345" 1944 "cancer" 0
"346" 1943 "cancer" 0.0120481927710843
"347" 1948 "cancer" 0.0159463831754102
"348" 2010 "cancer" 0
"349" 1941 "cancer" 0.023121387283237
"350" 1940 "cancer" 0
"351" 1939 "cancer" 0.00485436893203883
"352" 1938 "cancer" 0.0043859649122807
"353" 1937 "cancer" 0.0050761421319797
"354" 1936 "cancer" 0.0102564102564103
"355" 1935 "cancer" 0.0150753768844221
"356" 1934 "cancer" 0
"357" 1933 "cancer" 0.0050761421319797
"358" 1931 "cancer" 0.0106382978723404
"359" 1932 "cancer" 0
"360" 1930 "cancer" 0
"361" 1929 "cancer" 0
"362" 1928 "cancer" 0.00564971751412429
"363" 1927 "cancer" 0
"364" 1926 "cancer" 0.00588235294117647
"365" 1911 "cancer" 0
"366" 1904 "cancer" 0.0138888888888889
"367" 1901 "cancer" 0
"368" 1903 "cancer" 0
"369" 1899 "cancer" 0.0606060606060606
"370" 1900 "cancer" 0
"371" 1895 "cancer" 0.0333333333333333
"372" 1897 "cancer" 0.032258064516129
"373" 1898 "cancer" 0
"374" 1907 "cancer" 0
"375" 1892 "cancer" 0
"376" 1893 "cancer" 0
"377" 1906 "cancer" 0
"378" 1905 "cancer" 0
"379" 1902 "cancer" 0
"380" 1896 "cancer" 0
"381" 1894 "cancer" 0
"382" 1891 "cancer" 0
"383" 1890 "cancer" 0
"384" 1889 "cancer" 0
"385" 1888 "cancer" 0
"386" 1887 "cancer" 0
"387" 1885 "cancer" 0
"388" 1886 "cancer" 0
"389" 1884 "cancer" 0
"390" 1883 "cancer" 0
"391" 1882 "cancer" 0
"392" 1881 "cancer" 0
"393" 1879 "cancer" 0
"394" 1880 "cancer" 0
"395" 1878 "cancer" 0
"396" 1876 "cancer" 0
"397" 1875 "cancer" 0
"398" 1873 "cancer" 0
"399" 1910 "cancer" 0
"400" 1909 "cancer" 0.0266666666666667
"401" 1908 "cancer" 0.0142857142857143
"402" 1925 "cancer" 0
"403" 1924 "cancer" 0.00666666666666667
"404" 1923 "cancer" 0
"405" 1922 "cancer" 0.0087719298245614
"406" 1921 "cancer" 0
"407" 1920 "cancer" 0
"408" 1919 "cancer" 0.00884955752212389
"409" 1918 "cancer" 0
"410" 1917 "cancer" 0
"411" 1916 "cancer" 0.00847457627118644
"412" 1915 "cancer" 0.0347826086956522
"413" 1914 "cancer" 0.0114942528735632
"414" 1913 "cancer" 0
"415" 1912 "cancer" 0.0232558139534884
"416" 1877 "cancer" 0
"417" 1874 "cancer" 0
"418" 1872 "cancer" 0
"419" 1871 "cancer" 0
"420" 1870 "cancer" 0
"421" 1869 "cancer" 0
"422" 1868 "cancer" 0
"423" 1867 "cancer" 0
"424" 1866 "cancer" 0
"425" 1949 "cancer" 0.00947867298578199
