"year" "disease" "value"
"1" 1947 "diabetes" 0.00598086124401914
"2" 1942 "diabetes" 0
"3" 1946 "diabetes" 0
"4" 1945 "diabetes" 0
"5" 1944 "diabetes" 0.00613496932515337
"6" 1943 "diabetes" 0
"7" 1948 "diabetes" 0.00323549803559048
"8" 2010 "diabetes" 0.1
"9" 1941 "diabetes" 0
"10" 1940 "diabetes" 0.0105263157894737
"11" 1939 "diabetes" 0
"12" 1938 "diabetes" 0.0087719298245614
"13" 1937 "diabetes" 0.0101522842639594
"14" 1936 "diabetes" 0
"15" 1935 "diabetes" 0.0050251256281407
"16" 1934 "diabetes" 0
"17" 1933 "diabetes" 0.0101522842639594
"18" 1931 "diabetes" 0
"19" 1932 "diabetes" 0
"20" 1930 "diabetes" 0
"21" 1929 "diabetes" 0
"22" 1928 "diabetes" 0.00564971751412429
"23" 1927 "diabetes" 0
"24" 1926 "diabetes" 0.00588235294117647
"25" 1911 "diabetes" 0
"26" 1904 "diabetes" 0
"27" 1901 "diabetes" 0
"28" 1903 "diabetes" 0
"29" 1899 "diabetes" 0
"30" 1900 "diabetes" 0
"31" 1895 "diabetes" 0
"32" 1897 "diabetes" 0
"33" 1898 "diabetes" 0
"34" 1907 "diabetes" 0
"35" 1892 "diabetes" 0
"36" 1893 "diabetes" 0
"37" 1906 "diabetes" 0
"38" 1905 "diabetes" 0
"39" 1902 "diabetes" 0.0232558139534884
"40" 1896 "diabetes" 0
"41" 1894 "diabetes" 0
"42" 1891 "diabetes" 0
"43" 1890 "diabetes" 0
"44" 1889 "diabetes" 0
"45" 1888 "diabetes" 0
"46" 1887 "diabetes" 0
"47" 1885 "diabetes" 0
"48" 1886 "diabetes" 0
"49" 1884 "diabetes" 0
"50" 1883 "diabetes" 0
"51" 1882 "diabetes" 0
"52" 1881 "diabetes" 0
"53" 1879 "diabetes" 0
"54" 1880 "diabetes" 0
"55" 1878 "diabetes" 0
"56" 1876 "diabetes" 0
"57" 1875 "diabetes" 0
"58" 1873 "diabetes" 0
"59" 1910 "diabetes" 0
"60" 1909 "diabetes" 0.0133333333333333
"61" 1908 "diabetes" 0.0142857142857143
"62" 1925 "diabetes" 0.00641025641025641
"63" 1924 "diabetes" 0
"64" 1923 "diabetes" 0.00769230769230769
"65" 1922 "diabetes" 0
"66" 1921 "diabetes" 0
"67" 1920 "diabetes" 0.00869565217391304
"68" 1919 "diabetes" 0
"69" 1918 "diabetes" 0.00900900900900901
"70" 1917 "diabetes" 0.00884955752212389
"71" 1916 "diabetes" 0
"72" 1915 "diabetes" 0
"73" 1914 "diabetes" 0
"74" 1913 "diabetes" 0
"75" 1912 "diabetes" 0
"76" 1877 "diabetes" 0
"77" 1874 "diabetes" 0
"78" 1872 "diabetes" 0
"79" 1871 "diabetes" 0
"80" 1870 "diabetes" 0
"81" 1869 "diabetes" 0
"82" 1868 "diabetes" 0
"83" 1867 "diabetes" 0
"84" 1866 "diabetes" 0
"85" 1949 "diabetes" 0.00656215822092599
"86" 1947 "aids" 0
"87" 1942 "aids" 0
"88" 1946 "aids" 0
"89" 1945 "aids" 0
"90" 1944 "aids" 0
"91" 1943 "aids" 0
"92" 1948 "aids" 0.00161774901779524
"93" 2010 "aids" 0
"94" 1941 "aids" 0
"95" 1940 "aids" 0
"96" 1939 "aids" 0
"97" 1938 "aids" 0
"98" 1937 "aids" 0
"99" 1936 "aids" 0
"100" 1935 "aids" 0
"101" 1934 "aids" 0
"102" 1933 "aids" 0
"103" 1931 "aids" 0
"104" 1932 "aids" 0
"105" 1930 "aids" 0
"106" 1929 "aids" 0
"107" 1928 "aids" 0
"108" 1927 "aids" 0
"109" 1926 "aids" 0
"110" 1911 "aids" 0
"111" 1904 "aids" 0
"112" 1901 "aids" 0
"113" 1903 "aids" 0
"114" 1899 "aids" 0
"115" 1900 "aids" 0
"116" 1895 "aids" 0
"117" 1897 "aids" 0
"118" 1898 "aids" 0
"119" 1907 "aids" 0
"120" 1892 "aids" 0
"121" 1893 "aids" 0
"122" 1906 "aids" 0
"123" 1905 "aids" 0
"124" 1902 "aids" 0
"125" 1896 "aids" 0
"126" 1894 "aids" 0
"127" 1891 "aids" 0
"128" 1890 "aids" 0
"129" 1889 "aids" 0
"130" 1888 "aids" 0
"131" 1887 "aids" 0
"132" 1885 "aids" 0
"133" 1886 "aids" 0
"134" 1884 "aids" 0
"135" 1883 "aids" 0
"136" 1882 "aids" 0
"137" 1881 "aids" 0
"138" 1879 "aids" 0
"139" 1880 "aids" 0
"140" 1878 "aids" 0
"141" 1876 "aids" 0
"142" 1875 "aids" 0
"143" 1873 "aids" 0
"144" 1910 "aids" 0
"145" 1909 "aids" 0
"146" 1908 "aids" 0
"147" 1925 "aids" 0
"148" 1924 "aids" 0
"149" 1923 "aids" 0
"150" 1922 "aids" 0
"151" 1921 "aids" 0
"152" 1920 "aids" 0
"153" 1919 "aids" 0
"154" 1918 "aids" 0
"155" 1917 "aids" 0
"156" 1916 "aids" 0
"157" 1915 "aids" 0
"158" 1914 "aids" 0
"159" 1913 "aids" 0
"160" 1912 "aids" 0
"161" 1877 "aids" 0
"162" 1874 "aids" 0
"163" 1872 "aids" 0
"164" 1871 "aids" 0
"165" 1870 "aids" 0
"166" 1869 "aids" 0
"167" 1868 "aids" 0
"168" 1867 "aids" 0
"169" 1866 "aids" 0
"170" 1949 "aids" 0.001093693036821
"171" 1947 "tuberculosis" 0.0191387559808612
"172" 1942 "tuberculosis" 0.00598802395209581
"173" 1946 "tuberculosis" 0.00606060606060606
"174" 1945 "tuberculosis" 0.00636942675159236
"175" 1944 "tuberculosis" 0.0184049079754601
"176" 1943 "tuberculosis" 0.0180722891566265
"177" 1948 "tuberculosis" 0.0145597411601572
"178" 2010 "tuberculosis" 0
"179" 1941 "tuberculosis" 0.00578034682080925
"180" 1940 "tuberculosis" 0.0105263157894737
"181" 1939 "tuberculosis" 0
"182" 1938 "tuberculosis" 0.0175438596491228
"183" 1937 "tuberculosis" 0.0050761421319797
"184" 1936 "tuberculosis" 0.0102564102564103
"185" 1935 "tuberculosis" 0.0050251256281407
"186" 1934 "tuberculosis" 0.0102564102564103
"187" 1933 "tuberculosis" 0.0050761421319797
"188" 1931 "tuberculosis" 0.00531914893617021
"189" 1932 "tuberculosis" 0.010989010989011
"190" 1930 "tuberculosis" 0.00591715976331361
"191" 1929 "tuberculosis" 0
"192" 1928 "tuberculosis" 0.00564971751412429
"193" 1927 "tuberculosis" 0.00568181818181818
"194" 1926 "tuberculosis" 0.0176470588235294
"195" 1911 "tuberculosis" 0
"196" 1904 "tuberculosis" 0.0138888888888889
"197" 1901 "tuberculosis" 0.0303030303030303
"198" 1903 "tuberculosis" 0.0158730158730159
"199" 1899 "tuberculosis" 0
"200" 1900 "tuberculosis" 0.0384615384615385
"201" 1895 "tuberculosis" 0
"202" 1897 "tuberculosis" 0
"203" 1898 "tuberculosis" 0
"204" 1907 "tuberculosis" 0.0588235294117647
"205" 1892 "tuberculosis" 0.0454545454545455
"206" 1893 "tuberculosis" 0
"207" 1906 "tuberculosis" 0.0128205128205128
"208" 1905 "tuberculosis" 0.0352941176470588
"209" 1902 "tuberculosis" 0
"210" 1896 "tuberculosis" 0
"211" 1894 "tuberculosis" 0.0689655172413793
"212" 1891 "tuberculosis" 0.0476190476190476
"213" 1890 "tuberculosis" 0
"214" 1889 "tuberculosis" 0
"215" 1888 "tuberculosis" 0
"216" 1887 "tuberculosis" 0
"217" 1885 "tuberculosis" 0
