"Dredge.Nozzles...Propellers.1","Dredge.Nozzles...Propellers.2","Dredge.Nozzles...Propellers.3","Cargo.Retrofit.1","Cargo.Retrofit.2","Cargo.Retrofit.3","Vehicle.Operator.Training..Heavy.Equipment..1","Vehicle.Operator.Training..Heavy.Equipment..2","Vehicle.Operator.Training..Heavy.Equipment..3","Wind.Turbine..Acciona.","Wind.Turbine..Acciona..as.Retailer","Wind.Turbine..Nordex.","Wind.Turbine..Nordex..as.Retailer","Solar..Landcare.Building.","Solar..Multi.user.Terminal.","Greenpower..Visitors.Cafe.","Infrastructure..Earth.Friendly.Concrete","Solar..300kw.Option."
-261.5692457,-381.0849698,-495.2142074,-382.4549276,-535.2016803,-668.3078274,-434.4612696,-548.459646,-652.9529241,122.1592404,50.80856084,152.1591708,69.95411652,61.45152303,139.7337463,74.73223133,129.9622947,11.08675471
-231.7806357,-305.5867855,-480.5414072,-377.8930093,-503.7029084,-643.2222495,-436.6986921,-537.8233221,-630.6511485,128.9786864,63.00129891,145.0326404,82.01273021,152.3946334,194.6871717,74.67205933,421.2228951,109.7140618
-283.1550427,-337.8606308,-507.2384308,-375.1350654,-539.3985056,-644.6123721,-427.5316277,-527.9933603,-638.319997,126.2917957,67.57730652,149.9851662,93.31014931,151.013702,184.2907203,65.61869214,-12.45228911,74.53684382
-255.6905229,-333.7194757,-514.8766616,-366.8689773,-508.5288828,-655.2840408,-431.9129127,-535.3086526,-635.1536352,149.0563298,82.03771393,146.3070847,88.72477837,149.2281872,208.2432745,64.58516876,362.6772431,96.99691218
-261.510439,-358.0897185,-460.9478085,-381.7300282,-513.2471223,-664.4778874,-436.3222008,-541.3160203,-641.5265111,132.780973,53.35709921,155.4361988,71.38962771,107.5449288,180.6746239,67.73694232,29.2144685,-17.82662814
-209.2000314,-364.1041558,-472.1510697,-376.5611561,-495.1037546,-657.7789296,-431.6276979,-535.7574466,-644.1697115,135.1891938,65.40306708,149.0745781,86.13894351,140.9028075,183.4130434,65.96675411,113.6340516,104.5617198
-306.3740686,-378.9650488,-484.4461856,-402.2545887,-531.4368626,-692.4314725,-426.6621322,-548.3483063,-655.6429196,130.3460775,68.32613419,161.8080566,96.4140689,99.45636566,169.9273258,66.5305658,-24.43455113,176.7155585
-235.7495833,-352.4033958,-514.6151169,-364.2560883,-523.531541,-689.670322,-434.1444487,-547.79126,-646.9844073,124.522763,50.11084423,143.9269157,83.43371269,79.98079852,141.751796,82.76975415,157.0316284,88.17972764
-228.4296668,-345.3237583,-445.8024395,-389.9491382,-497.8051962,-637.2193684,-425.8410194,-534.7709752,-629.5606291,136.0971427,73.85142171,154.7527667,79.39880133,157.3323173,201.8336777,79.09010117,258.4430148,51.13951963
-305.943464,-363.8508607,-487.6812992,-396.5802247,-522.2783919,-666.2812394,-430.0519401,-542.222535,-657.1330681,130.8727877,70.68323704,157.7245799,87.85509882,101.8054883,164.6926747,64.30271365,-185.1963775,64.21230049
-277.0072001,-380.4118046,-525.0244109,-388.5030396,-527.6906288,-659.502398,-432.064886,-541.2561248,-648.3111684,143.664715,79.68794508,145.6007412,99.7206813,102.8159844,174.0463937,60.49224978,-23.88523125,134.0823497
-237.8771474,-379.1011497,-436.9977685,-373.6476055,-522.2660352,-679.8659786,-429.6486624,-543.3131128,-649.733595,140.0199528,68.77110861,158.3610966,83.39413332,90.37044228,152.4443653,80.79834542,95.92135552,77.9580759
-278.1347321,-395.0509825,-466.5640879,-381.8243613,-546.3777188,-661.2937458,-435.9767015,-540.8913713,-647.8614235,135.0129662,69.19008956,150.0169189,97.67417402,93.99372555,161.8553941,70.10275408,24.64326411,98.47270502
-275.7633591,-354.7386269,-490.406837,-355.1329089,-506.5547006,-654.0495142,-428.3996912,-537.9764598,-637.7105265,138.3724667,49.46387414,150.5684804,85.91307852,131.8825586,178.8427363,82.71659962,144.7409298,156.413703
-242.0418925,-380.6746479,-489.983962,-388.1814667,-523.0870604,-664.7607239,-424.9548492,-535.5479269,-644.7281606,128.7440303,65.94351629,155.0735589,80.23624353,81.82146728,146.7180679,71.92074716,193.8332764,-15.95224226
-290.1892273,-352.7589355,-492.1305723,-377.1123975,-518.0034809,-658.1062524,-434.8526139,-530.0100161,-640.6398761,130.54608,46.00744804,142.4735577,70.66952477,123.5856718,186.3806182,79.40543106,242.9874293,2.652818106
-257.2818958,-355.4039952,-504.1169846,-360.8843263,-521.7648657,-650.1192536,-430.9418569,-533.3322392,-636.5784757,127.7466589,61.95352856,157.7342641,79.40010843,108.3090977,174.50493,69.75567802,353.6230249,34.22501198
-285.3953904,-387.2366681,-505.6122226,-379.1888938,-516.3824972,-647.289569,-430.2557109,-538.7498406,-645.8167262,135.6561249,79.10057862,149.333119,82.96814357,152.4428358,198.6725257,64.98702351,-15.8141184,65.82672711
-273.4840577,-379.755999,-457.2363241,-361.7245095,-522.4702195,-662.0987675,-430.292304,-539.3321387,-643.993526,115.5448188,72.10591471,152.9581981,90.93617463,152.5192707,194.5875157,78.53594743,-105.5923945,11.09651055
-277.3569118,-417.6347791,-440.807711,-381.8401439,-524.599536,-652.1080146,-431.6296779,-536.1713105,-648.2291096,126.4024157,46.74934602,158.5413553,75.2903204,112.2052635,175.0654617,77.14303177,-119.9139947,77.23764906
-220.2282549,-383.6382336,-484.8489338,-385.3355372,-519.8668487,-663.2665391,-438.5417398,-535.1104703,-648.0444159,119.801525,63.36761298,138.9536456,93.72112473,103.0204863,169.8264073,75.99714307,48.08427403,66.45145885
-208.7537479,-341.8990706,-464.9185242,-389.0239397,-490.2066368,-618.6350841,-432.7348361,-530.8877055,-635.6386815,133.477256,71.21184253,155.7623618,75.39422904,181.4378923,218.4711643,62.59982267,230.0489618,130.6072662
-270.0621914,-331.9520509,-473.056593,-347.4882149,-485.5068045,-644.3859539,-419.9592773,-534.5442697,-635.7075442,139.141306,80.62339372,161.0959384,104.2791868,203.2845491,231.0941146,62.67324187,330.4670684,164.7333437
-232.2157959,-402.3526352,-484.6336009,-371.2873788,-522.7185241,-691.9563755,-428.0374826,-542.5753869,-651.1129249,114.6442364,67.67680988,142.2010246,78.49159435,85.05967756,148.7004834,71.00601188,198.9793139,-10.78703197
-270.8321712,-344.2539522,-478.2340006,-373.3247483,-508.5857091,-655.0491182,-436.9075687,-539.399141,-641.6474995,138.3734737,65.78243184,154.0719174,84.98549106,98.38920108,175.0453878,65.39287601,-205.3331887,87.46791443
-210.3851952,-378.6732232,-455.5284208,-375.8046419,-530.846837,-650.9191565,-436.6442197,-529.9082583,-634.258758,138.25922,73.85801063,146.793699,84.75541357,135.270403,175.7388434,84.62487183,-14.72909731,68.18130349
-251.7993528,-372.0634524,-468.3871703,-392.6526603,-513.5176765,-676.268211,-432.9179835,-534.4042466,-648.8170429,127.094993,60.36785852,136.7780956,84.57398772,123.7552536,182.8968939,72.14355206,224.601237,64.79566704
-211.1886316,-354.6082118,-458.0788807,-376.1573403,-522.0163475,-675.0071838,-424.9552152,-537.1021258,-644.0983437,126.2907565,67.64483502,143.2925263,86.98963897,101.0240447,165.6669451,79.51773998,-193.8684186,49.53058801
-258.7251082,-415.1803307,-517.1620243,-364.7078441,-497.5169021,-670.2315032,-432.3991794,-540.5198181,-648.7046292,136.380092,50.63138541,149.9447766,80.79025557,122.3700988,174.0152697,79.04102953,343.5122878,148.4235824
-239.0183561,-384.6490218,-426.1974088,-387.4688464,-520.6117707,-673.4041829,-437.4511443,-537.2806568,-653.581899,136.4154845,71.539988,150.8291633,88.96073048,105.9727746,174.1221024,70.02241914,306.0634929,98.48552122
-275.4732172,-328.0359065,-478.2167247,-356.5430739,-496.4114362,-637.17452,-428.7967369,-533.1122117,-640.3409894,119.8504453,54.01033466,143.1832455,64.00881886,154.2617114,191.5775723,82.07014921,16.40068196,66.77526707
-307.8721302,-389.5000539,-471.9533693,-390.0745641,-511.7456072,-642.7315645,-432.2541825,-536.731341,-634.5299718,122.2087295,45.21294194,144.5258057,64.02859373,139.14237,184.6176365,76.84028572,-68.91581718,53.52035423
-269.0130368,-370.7836998,-467.5336114,-365.0977674,-519.3022316,-674.0345603,-437.465231,-536.1945174,-640.3814729,131.5588218,70.74047512,143.6782425,107.1747444,120.7257672,176.8204031,74.95584099,275.0610062,57.61081705
-265.6112617,-409.0631479,-447.9600708,-367.0804872,-518.8170338,-657.7686329,-430.9575951,-531.8003824,-644.6499529,129.8795615,75.45619686,151.5357666,93.33495186,120.1242831,168.0039316,79.59569278,269.1452922,38.9644814
-296.3693243,-356.2493178,-495.141372,-382.7685718,-503.4072337,-666.3712301,-437.7680032,-535.1171146,-633.7300961,150.404273,73.73844191,149.9828886,78.63107294,135.3627454,192.4166832,76.72535066,55.27363299,135.8235
-229.140402,-403.6227719,-478.8922677,-375.2098533,-518.1274211,-661.5135115,-425.3158139,-531.4660299,-641.428439,137.1745378,55.16592548,150.9909059,76.0196374,115.4120021,174.5682616,80.34929828,195.8280716,48.00368899
-299.2034028,-409.6338687,-520.8479265,-386.7351653,-521.6054997,-678.2098295,-436.5422418,-540.4133297,-651.4397268,121.7346481,37.25254766,142.0918913,58.66812657,84.84172413,146.9109048,69.50526392,53.69965627,35.99112546
-281.2804024,-350.2136193,-508.9581126,-385.1438097,-528.0532312,-664.7806063,-428.6408528,-538.3217982,-660.3228891,131.0899445,58.28635907,136.3534298,70.28979401,66.73634739,148.4363936,82.47575408,318.762637,9.06218624
-239.8975645,-374.3253871,-476.4339693,-376.391498,-520.3306485,-688.6148781,-427.3586591,-543.9655122,-653.8559656,138.1182291,54.38756899,152.1154517,81.10113518,86.13045812,161.3709118,79.73518514,9.875731296,29.66694304
-267.9988919,-425.005243,-464.6483433,-384.023473,-520.9244378,-685.2240446,-431.3531092,-539.4611065,-650.7139091,119.2748278,61.60122032,141.2269162,77.10492112,88.5957554,157.9068376,79.31866976,-84.09501851,-7.302901571
-288.169511,-387.500732,-505.2262884,-381.5360146,-525.5860647,-671.3083599,-430.5268915,-533.4463506,-644.9209401,134.6533887,49.93316223,139.5262219,72.70288851,120.731847,176.6255641,77.18850286,296.225513,-14.31812889
-264.2815423,-405.4626865,-513.9202217,-378.5809055,-540.2904568,-691.7843564,-424.6039233,-546.1472244,-660.2292987,133.63236,55.63258104,142.3622859,79.13495607,85.12753722,164.9389542,65.76726388,128.7934089,-38.47485045
-254.6115664,-385.8405203,-517.6925422,-398.2084,-536.1842902,-693.5462741,-429.7341541,-541.7365308,-655.536624,130.8885045,63.56528062,159.8998991,84.91267813,79.60827251,165.1009785,62.01769659,256.435016,15.03897782
-240.8694196,-379.579804,-407.6359389,-380.1551695,-516.1803399,-672.4215531,-430.021806,-532.0532537,-632.9999896,141.6342906,60.76750732,140.9791119,76.77570853,126.4254896,177.372585,81.90184737,8.581276188,79.66336182
-286.9497849,-321.1146869,-476.3690352,-373.7225882,-507.848075,-638.6281174,-429.6354996,-534.5310647,-639.6184287,131.0292708,73.39445859,145.5949915,89.13515132,156.1436466,207.1717937,62.28017085,389.2656214,22.24520851
-293.9525856,-396.5792657,-524.6367091,-378.4017716,-512.8814123,-677.1045305,-436.1586806,-546.0666037,-639.3140284,133.0201247,61.26190172,142.8484662,66.25429402,129.2648514,186.6514471,79.26538364,124.3721479,82.77462024
-255.4399264,-375.3874338,-440.9660824,-391.1851053,-523.598007,-659.097454,-427.4687161,-535.1837771,-646.7945659,134.8947838,55.19938491,144.939832,67.47408339,86.7110615,160.5292667,70.13132644,-88.36653005,-49.99363697
-261.277044,-371.8089844,-436.8796734,-366.4051886,-513.2309253,-637.7321139,-428.424517,-533.3295647,-647.8783621,134.3909706,59.0819976,141.1327517,63.69637391,98.29613332,164.0185028,74.0185122,63.43239078,-14.15988058
-284.8926316,-356.0519436,-441.5377683,-358.2302097,-524.6467436,-668.9479774,-433.6126523,-538.3246283,-651.777923,119.0536565,61.16489862,132.848965,83.66342198,84.04634221,154.0849084,78.848749,430.3375371,38.82209487
-292.6616537,-399.6113965,-489.614439,-375.6352177,-533.377825,-658.3855082,-434.5211753,-542.6033661,-646.3020285,120.1331611,59.31018554,147.0188381,71.27484808,108.8284819,168.2655591,80.98975143,-86.44942117,75.53146015
-254.0567555,-354.520759,-471.021459,-367.5885868,-509.2946201,-656.8239094,-427.0738959,-537.3802319,-639.5619602,138.7383868,63.31297518,147.3688652,77.5437473,152.0945148,193.6545025,81.76984337,400.6921052,68.84367827
-263.8007265,-319.3855342,-492.7250144,-373.015346,-506.9423472,-619.2226249,-427.9498026,-533.8093199,-640.2602897,114.9218339,65.92025805,155.0850339,78.933307,134.7912888,170.0280009,65.20935006,-57.86921572,101.3655343
-297.8793341,-400.4201889,-493.6564653,-367.9719494,-536.7837397,-675.0738685,-435.3418619,-541.2665335,-647.3262096,142.5936742,67.1752784,159.9048661,81.18580641,83.34972399,150.1376834,77.8466367,3.642472411,72.4636403
-215.4772574,-343.7482704,-492.0599375,-390.2627184,-531.508088,-651.8403164,-434.0871162,-537.2828174,-647.7182571,135.5190741,73.46344795,146.7686543,93.73780785,108.0952662,170.4365412,73.57691926,92.22140429,33.69544596
-274.0409628,-380.9018016,-505.7527606,-389.8665577,-548.5611129,-714.2938102,-438.9372913,-544.4059765,-661.8862784,133.4717402,69.35868933,138.7417484,79.43555182,49.02520698,129.6178457,68.07143277,483.7402517,-45.43755975
